id,context,question,answer_picked,feedback,original_gold_label,votes_distribution
e5cf531d-8fa6-4c65-a482-237cbf138daf,Casey ordered a package with priority shipping but two weeks passed and Casey never received the package.,What will Casey want to do next?,"[{'answer': 'make a complaint'}, {'answer': 'make a complaint'}, {'answer': 'make a complaint'}, {'answer': 'make a complaint'}, {'answer': 'make a complaint'}]",[],make a complaint,{'make a complaint': 5}
5c566269-eec8-4072-bc6d-d23041f3d229,Sasha was being picked on by her big brother. Sasha got revenge when she popped his tires.,What will Others want to do next?,"[{'answer': 'yell'}, {'answer': 'lock her doors'}, {'answer': 'hide from her brother'}, {'answer': 'lock her doors'}, {'answer': 'yell'}, {'answer': 'hide from her brother'}, {'answer': 'yell'}, {'answer': 'hide from her brother'}, {'answer': 'yell'}, {'answer': 'hide from her brother'}]",[],yell,"{'yell': 4, 'lock her doors': 2, 'hide from her brother': 4}"
03bc0431-1e9a-432d-a224-604b01c887b2,"After seeing what a mess Aubrey was, Robin changed her into clean clothes.",How would you describe Robin?,"[{'answer': 'a kind caretaker'}, {'answer': 'a kind caretaker'}, {'answer': 'a kind caretaker'}, {'answer': 'a kind caretaker'}, {'answer': 'a kind caretaker'}]",[],a kind caretaker,{'a kind caretaker': 5}
1ec89441-214c-4f7c-ba09-3db2befb1e52,"Jesse wanted to flunk Bailey for her bad behavior, but Bailey passed Jesse's examination.",What will Bailey want to do next?,"[{'answer': 'celebrate'}, {'answer': 'celebrate'}, {'answer': 'celebrate'}, {'answer': 'complain'}, {'answer': 'complain'}, {'answer': 'celebrate'}, {'answer': 'celebrate'}, {'answer': 'celebrate'}, {'answer': 'celebrate'}, {'answer': 'celebrate'}]",[],celebrate,"{'celebrate': 8, 'complain': 2}"
6f49bd3b-5689-4a1c-b297-d6d5edabe21e,Remy answered the silly question they were asked happily.,Why did Remy do this?,"[{'answer': 'know the answer'}, {'answer': 'have fun'}, {'answer': 'have fun'}, {'answer': 'have fun'}, {'answer': 'have fun'}]",[],have fun,"{'know the answer': 1, 'have fun': 4}"
2b77c5a1-3281-4593-8b8f-6c72a4f6c47a,"Jordan wanted to do something special for their spouse on Valentines day, so Jordan decided to have a picnic in the park.",What will Jordan want to do next?,"[{'answer': 'pack a basket'}, {'answer': 'invite their spouse'}, {'answer': 'invite their spouse'}, {'answer': 'invite their spouse'}, {'answer': 'invite their spouse'}]",[],pack a basket,"{'pack a basket': 1, 'invite their spouse': 4}"
bd85dbcd-b57c-4c6b-800c-9cf41d4c7796,Bailey was at his friends house one day when the house next door caught on fire.,What will happen to Others?,"[{'answer': 'lose their home in the fire'}, {'answer': 'lose their home in the fire'}, {'answer': 'lose their home in the fire'}, {'answer': 'lose their home in the fire'}, {'answer': 'lose their home in the fire'}]",[],lose their home in the fire,{'lose their home in the fire': 5}
32fcf1aa-978d-4c8a-9d94-6c792947066a,"After years of bullying in high school, Sasha graduated at the top of her class and got a great job. Sasha got revenge on the people.",How would you describe Sasha?,"[{'answer': 'a competent person'}, {'answer': 'a competent person'}, {'answer': 'a competent person'}, {'answer': 'a competent person'}, {'answer': 'a competent person'}]",[],a competent person,{'a competent person': 5}
d18c4b2d-f53c-4a79-b766-2391bea3e26c,But she didn't want to be on the team so walked off the court.,Why did Aubrey do this?,"[{'answer': 'wanted to spend more time at home'}, {'answer': 'wanted to spend more time at home'}, {'answer': 'wanted to spend more time at home'}, {'answer': 'wanted to spend more time at home'}, {'answer': 'wanted to spend more time at home'}]",[],wanted to spend more time at home,{'wanted to spend more time at home': 5}
0888607b-adda-4f60-81e8-ecb36983f73f,"During the speech, Remy gave Casey's interpretation of the situation to the guests.",What does Remy need to do before this?,"[{'answer': ""take detailed notes of Casey's words""}, {'answer': ""take detailed notes of Casey's words""}, {'answer': ""take detailed notes of Casey's words""}, {'answer': ""take detailed notes of Casey's words""}, {'answer': ""take detailed notes of Casey's words""}]",[],take detailed notes of Casey's words,"{""take detailed notes of Casey's words"": 5}"
