id,context,question,answerA,answerA_ratings,answerA_stats,feedback_answerA,answerB,answerB_ratings,answerB_stats,feedback_answerB,answerC,answerC_ratings,answerC_stats,feedback_answerC,gold_label,gold_label_rating
e1ba629d-2771-4d5b-8f06-a01a62b1d069,Lee left a mess upon Ash and had to clean the mess for a few hours.,What will happen to Ash?,get yelled at,"[{'rating': '3 - Plausible'}, {'rating': '1 - Impossible'}, {'rating': '3 - Plausible'}, {'rating': '4 - Likely'}, {'rating': '3 - Plausible'}]","{'mean': 2.8, 'variance': 1.2, 'std_dev': 1.0954451150103321, 'median': 3}",[],sad now,"[{'rating': '2 - Technically Possible'}, {'rating': '4 - Likely'}, {'rating': '4 - Likely'}, {'rating': '5 - Very Likely'}, {'rating': '3 - Plausible'}]","{'mean': 3.6, 'variance': 1.3, 'std_dev': 1.140175425099138, 'median': 4}","[{'feedback': 'This is terribly worded. ""left a mess upon Ash"" makes it sound like the mess is physically on Ash; the answer of ""sad now"" is very clunky/not a complete sentence or phrase.'}, {'feedback': 'I think that this one is phrased oddly, but it is possible Ash would be sad, even with Lee cleaning, depending on the mess.'}]",clean up the next mess,"[{'rating': '3 - Plausible'}, {'rating': '3 - Plausible'}, {'rating': '1 - Impossible'}, {'rating': '3 - Plausible'}, {'rating': '2 - Technically Possible'}]","{'mean': 2.4, 'variance': 0.7999999999999999, 'std_dev': 0.8944271909999159, 'median': 3}","[{'feedback': ""I'm trying to figure out the initial setup.  Did Lee dump trash on Ash?  Did he leave before taking care of communal responsibilities?  Word choice (is this an idiom?) makes it hard to tell what  happened. ""}]",clean up the next mess,2.4
dea066f7-c5e7-4e86-80d6-d8d0086d0acb,Ash redeemed themselves after retaking the test they failed.,How will Ash feel as a result?,relieved,"[{'rating': '5 - Very Likely'}, {'rating': '2 - Technically Possible'}, {'rating': '5 - Very Likely'}, {'rating': '5 - Very Likely'}, {'rating': '4 - Likely'}]","{'mean': 4.2, 'variance': 1.7, 'std_dev': 1.3038404810405297, 'median': 5}",[{'feedback': 'Feeling relieved that you achived redemption you worked hard for is a natural release after your hard work.'}],accomplished,"[{'rating': '4 - Likely'}, {'rating': '2 - Technically Possible'}, {'rating': '5 - Very Likely'}, {'rating': '2 - Technically Possible'}, {'rating': '5 - Very Likely'}]","{'mean': 3.6, 'variance': 2.3000000000000003, 'std_dev': 1.5165750888103102, 'median': 4}",[],proud,"[{'rating': '4 - Likely'}, {'rating': '5 - Very Likely'}, {'rating': '5 - Very Likely'}, {'rating': '5 - Very Likely'}, {'rating': '5 - Very Likely'}]","{'mean': 4.8, 'variance': 0.19999999999999998, 'std_dev': 0.4472135954999579, 'median': 5}",[],accomplished,3.6
060dd332-dbcf-4c89-81d2-73f25d556b18,kai grabbed carson's tools and stole them to get back at carson.,What will Carson want to do next?,find the tools,"[{'rating': '5 - Very Likely'}, {'rating': '5 - Very Likely'}, {'rating': '5 - Very Likely'}, {'rating': '5 - Very Likely'}, {'rating': '5 - Very Likely'}]","{'mean': 5, 'variance': 0, 'std_dev': 0.0, 'median': 5}",[],call the police,"[{'rating': '5 - Very Likely'}, {'rating': '4 - Likely'}, {'rating': '4 - Likely'}, {'rating': '3 - Plausible'}, {'rating': '4 - Likely'}]","{'mean': 4, 'variance': 0.5, 'std_dev': 0.7071067811865476, 'median': 4}",[],ignore kai,"[{'rating': '1 - Impossible'}, {'rating': '3 - Plausible'}, {'rating': '3 - Plausible'}, {'rating': '3 - Plausible'}, {'rating': '2 - Technically Possible'}]","{'mean': 2.4, 'variance': 0.7999999999999999, 'std_dev': 0.8944271909999159, 'median': 3}","[{'feedback': ""This depends on Carson's personality, he may confront Kai directly.""}, {'feedback': 'More likely to retaliate and get his tools back'}]",call the police,4
5a0d82bc-a7c9-4765-94ef-da0e1ea60b4a,Addison took the test in their science class after studying all night.,What will Addison want to do next?,turn in their test,"[{'rating': '5 - Very Likely'}, {'rating': '5 - Very Likely'}, {'rating': '5 - Very Likely'}, {'rating': '5 - Very Likely'}, {'rating': '5 - Very Likely'}]","{'mean': 5, 'variance': 0, 'std_dev': 0.0, 'median': 5}",[],get a good grade,"[{'rating': '4 - Likely'}, {'rating': '5 - Very Likely'}, {'rating': '5 - Very Likely'}, {'rating': '2 - Technically Possible'}, {'rating': '4 - Likely'}]","{'mean': 4, 'variance': 1.5, 'std_dev': 1.224744871391589, 'median': 4}",[],pass the class,"[{'rating': '3 - Plausible'}, {'rating': '3 - Plausible'}, {'rating': '4 - Likely'}, {'rating': '4 - Likely'}, {'rating': '4 - Likely'}]","{'mean': 3.6, 'variance': 0.3, 'std_dev': 0.5477225575051661, 'median': 4}","[{'feedback': ""Technically she wants to pass the class, but I think the question more implies what she's going to do immediately after completing the test, so I suppose the answer is plausible.""}]",get a good grade,4
8f967d9f-982e-4375-ada6-fd841b4369fc,Remy moved to a new city. They made more friends.,Why did Remy do this?,travel to the new city,"[{'rating': '2 - Technically Possible'}, {'rating': '4 - Likely'}, {'rating': '3 - Plausible'}, {'rating': '1 - Impossible'}, {'rating': '2 - Technically Possible'}]","{'mean': 2.4, 'variance': 1.3, 'std_dev': 1.140175425099138, 'median': 2}","[{'feedback': 'Need clarification on ""this"". I\'m answering ""Why did Remy move to a new city"". Could also be interpreted as Why did Remy make more friends-- in which the answer is very likely. Also confused if the answer isn\'t a complete sentence on purpose.'}]",pack their things,"[{'rating': '2 - Technically Possible'}, {'rating': '1 - Impossible'}, {'rating': '5 - Very Likely'}, {'rating': '5 - Very Likely'}, {'rating': '4 - Likely'}]","{'mean': 3.4, 'variance': 3.3000000000000003, 'std_dev': 1.8165902124584952, 'median': 4}",[],wanted to influence people,"[{'rating': '3 - Plausible'}, {'rating': '3 - Plausible'}, {'rating': '2 - Technically Possible'}, {'rating': '3 - Plausible'}, {'rating': '2 - Technically Possible'}]","{'mean': 2.6, 'variance': 0.3, 'std_dev': 0.5477225575051661, 'median': 3}",[],travel to the new city,2.4
8cd362d7-c53a-4189-a5ea-a4df4a749eda,Robin was paralyzed and was unable to respond on their own.,What will Carson want to do next?,abandon Robin,"[{'rating': '1 - Impossible'}, {'rating': '3 - Plausible'}, {'rating': '3 - Plausible'}, {'rating': '2 - Technically Possible'}, {'rating': '3 - Plausible'}]","{'mean': 2.4, 'variance': 0.7999999999999999, 'std_dev': 0.8944271909999159, 'median': 3}",[],raise Robin's hand,"[{'rating': '2 - Technically Possible'}, {'rating': '2 - Technically Possible'}, {'rating': '2 - Technically Possible'}, {'rating': '4 - Likely'}, {'rating': '4 - Likely'}]","{'mean': 2.8, 'variance': 1.2, 'std_dev': 1.0954451150103321, 'median': 2}","[{'feedback': 'If Carson is there to help Robin, sure.'}]",find an alternative,"[{'rating': '2 - Technically Possible'}, {'rating': '3 - Plausible'}, {'rating': '4 - Likely'}, {'rating': '5 - Very Likely'}, {'rating': '4 - Likely'}]","{'mean': 3.6, 'variance': 1.3, 'std_dev': 1.140175425099138, 'median': 4}",[{'feedback': 'Unclear what the relationship is between Robin and Carson'}],raise Robin's hand,2.8
11129f03-42ef-48f7-9bd1-1155f31a2d7d,Jesse broke her leg and could not take the students on the trip after all.,What does Tracy need to do before this?,rest her leg,"[{'rating': '1 - Impossible'}, {'rating': '5 - Very Likely'}, {'rating': '2 - Technically Possible'}, {'rating': '1 - Impossible'}, {'rating': '4 - Likely'}]","{'mean': 2.6, 'variance': 3.3000000000000003, 'std_dev': 1.8165902124584952, 'median': 2}",[],tell Jesse she was willing to go,"[{'rating': '3 - Plausible'}, {'rating': '1 - Impossible'}, {'rating': '4 - Likely'}, {'rating': '3 - Plausible'}, {'rating': '2 - Technically Possible'}]","{'mean': 2.6, 'variance': 1.3, 'std_dev': 1.140175425099138, 'median': 3}",[{'feedback': 'Jess could be willing to go but physically unable to.'}],stay at home,"[{'rating': '2 - Technically Possible'}, {'rating': '3 - Plausible'}, {'rating': '3 - Plausible'}, {'rating': '5 - Very Likely'}, {'rating': '4 - Likely'}]","{'mean': 3.4, 'variance': 1.3, 'std_dev': 1.140175425099138, 'median': 3}","[{'feedback': 'Jesse was the name mentioned in the sentence, so we know nothing about Tracy'}]",tell Jesse she was willing to go,2.6
d959d9c0-71c5-4d80-8645-90ecdcd4a21b,Sasha kept the baby and started applying for jobs.,What will Sasha want to do next?,needed to find a job,"[{'rating': '4 - Likely'}, {'rating': '5 - Very Likely'}, {'rating': '5 - Very Likely'}, {'rating': '5 - Very Likely'}, {'rating': '4 - Likely'}]","{'mean': 4.6, 'variance': 0.3, 'std_dev': 0.5477225575051661, 'median': 5}",[],go shopping next,"[{'rating': '3 - Plausible'}, {'rating': '3 - Plausible'}, {'rating': '1 - Impossible'}, {'rating': '2 - Technically Possible'}, {'rating': '3 - Plausible'}]","{'mean': 2.4, 'variance': 0.7999999999999999, 'std_dev': 0.8944271909999159, 'median': 3}",[],care for the baby next,"[{'rating': '4 - Likely'}, {'rating': '4 - Likely'}, {'rating': '3 - Plausible'}, {'rating': '4 - Likely'}, {'rating': '4 - Likely'}]","{'mean': 3.8, 'variance': 0.19999999999999998, 'std_dev': 0.4472135954999579, 'median': 4}","[{'feedback': ""What's next? While applying for jobs or after she's done? Not clear.""}]",care for the baby next,3.8
8f1a3df3-1dc6-461d-b92e-3fe095bd16a9,Austin moved their body from the crime scene so cops wouldn't find it.,What will Austin want to do next?,put sunglasses on the body's eyes,"[{'rating': '1 - Impossible'}, {'rating': '1 - Impossible'}, {'rating': '2 - Technically Possible'}, {'rating': '2 - Technically Possible'}, {'rating': '1 - Impossible'}]","{'mean': 1.4, 'variance': 0.3, 'std_dev': 0.5477225575051661, 'median': 1}","[{'feedback': 'While Austin may want to put sunglasses on the body due to some weird fetish, it is probably not his next course of action in hiding his crime.'}]",wanted to get away with the crime,"[{'rating': '2 - Technically Possible'}, {'rating': '5 - Very Likely'}, {'rating': '4 - Likely'}, {'rating': '5 - Very Likely'}, {'rating': '5 - Very Likely'}]","{'mean': 4.2, 'variance': 1.7, 'std_dev': 1.3038404810405297, 'median': 5}",[],dispose the body in chemicals,"[{'rating': '4 - Likely'}, {'rating': '3 - Plausible'}, {'rating': '5 - Very Likely'}, {'rating': '1 - Impossible'}, {'rating': '5 - Very Likely'}]","{'mean': 3.6, 'variance': 2.8, 'std_dev': 1.6733200530681511, 'median': 4}",[],dispose the body in chemicals,3.6
c73de685-d90a-441f-a205-503defe2a52c,Jesse just got a haircut and Riley was observing him with her eyes.,What will happen to Jesse?,Give a compliment to Jesse about his hair/,"[{'rating': '1 - Impossible'}, {'rating': '2 - Technically Possible'}, {'rating': '1 - Impossible'}, {'rating': '4 - Likely'}, {'rating': '2 - Technically Possible'}]","{'mean': 2, 'variance': 1.5, 'std_dev': 1.224744871391589, 'median': 2}",[],go for a haircut,"[{'rating': '3 - Plausible'}, {'rating': '2 - Technically Possible'}, {'rating': '2 - Technically Possible'}, {'rating': '1 - Impossible'}, {'rating': '5 - Very Likely'}]","{'mean': 2.6, 'variance': 2.3000000000000003, 'std_dev': 1.5165750888103102, 'median': 2}",[{'feedback': 'Jesse already got a haircut but may want to trim more hair off.'}],see Jesse's haircut,"[{'rating': '1 - Impossible'}, {'rating': '2 - Technically Possible'}, {'rating': '2 - Technically Possible'}, {'rating': '1 - Impossible'}, {'rating': '1 - Impossible'}]","{'mean': 1.4, 'variance': 0.3, 'std_dev': 0.5477225575051661, 'median': 1}","[{'feedback': ""Answer is from Riley's perspective""}]",Give a compliment to Jesse about his hair/,2
