id,question,answer_picked,feedback,original_gold_label,votes_distribution
903965ef-35c2-4ca0-bc69-73788f72fac2,What regions of a town would you have found a dime store?,"[{'answer': 'commercial building'}, {'answer': 'small neighborhood'}, {'answer': 'past'}, {'answer': 'small neighborhood'}, {'answer': 'small neighborhood'}, {'answer': 'mall'}, {'answer': 'commercial building'}, {'answer': 'commercial building'}, {'answer': 'past'}, {'answer': 'small neighborhood'}]",[],small neighborhood,"{'commercial building': 3, 'small neighborhood': 4, 'past': 2, 'mall': 1}"
1d758daf-2749-4888-8dd5-da792c7c1e7c,"When you get together with friends to watch film, you might do plenty of this?","[{'answer': 'have fun'}, {'answer': 'have fun'}, {'answer': 'have fun'}, {'answer': 'have fun'}, {'answer': 'have fun'}]",[],have fun,{'have fun': 5}
384cc113-1b96-4eb5-aa3a-caba205f0938,"The bell rang, and the congregation began to what in to the church?","[{'answer': 'run away'}, {'answer': 'funnel'}, {'answer': 'funnel'}, {'answer': 'funnel'}, {'answer': 'funnel'}]",[],funnel,"{'run away': 1, 'funnel': 4}"
ab4db040-1690-4fe2-976b-81c10c92b6b6,What region of a west coast U.S. city would you find a Japanese restaurant?,"[{'answer': 'california'}, {'answer': 'downtown'}, {'answer': 'downtown'}, {'answer': 'downtown'}, {'answer': 'california'}, {'answer': 'downtown'}, {'answer': 'california'}, {'answer': 'downtown'}, {'answer': 'downtown'}, {'answer': 'downtown'}]",[],downtown,"{'california': 3, 'downtown': 7}"
e1ca62fb-bc1c-4981-a618-a5c25429783a,"When a human is earning money, where are they often found?","[{'answer': 'place of work'}, {'answer': 'place of work'}, {'answer': 'place of work'}, {'answer': 'place of work'}, {'answer': 'place of work'}]",[],place of work,{'place of work': 5}
5abe2df9-ac52-4965-8736-21123c07ebe2,"If the president wanted to ban snakes, where would he issue such a decree?","[{'answer': 'white house'}, {'answer': 'white house'}, {'answer': 'white house'}, {'answer': 'white house'}, {'answer': 'white house'}]",[],white house,{'white house': 5}
dd475ff3-25fc-40d4-bd05-9dd1b0538644,What are people likely to do when an unexpected decent outcome occurs?,"[{'answer': 'thank god'}, {'answer': 'thank god'}, {'answer': 'thank god'}, {'answer': 'thank god'}, {'answer': 'thank god'}]",[],thank god,{'thank god': 5}
58a5e44f-07b3-4446-8b34-3354d9e5f0f8,"The dog curled up for a nap, it was tuckered out because it had just been what?","[{'answer': 'walked'}, {'answer': 'walked'}, {'answer': 'walked'}, {'answer': 'walked'}, {'answer': 'petted'}]",[],walked,"{'walked': 4, 'petted': 1}"
b35c7ea5-e01b-454f-a3df-9b7e8e747c68,"The victim was to take stand today, they were going to do what?","[{'answer': 'testify'}, {'answer': 'testify'}, {'answer': 'testify'}, {'answer': 'testify'}, {'answer': 'testify'}]",[],testify,{'testify': 5}
009bf3f7-aa28-4b51-9746-542f23520a4e,What would a person need to do if his or her captain dies at sea?,"[{'answer': 'man crew'}, {'answer': 'man crew'}, {'answer': 'man crew'}, {'answer': 'man crew'}, {'answer': 'experience life'}]",[{'feedback': 'This question is difficult to understand. '}],man crew,"{'man crew': 4, 'experience life': 1}"
